,city,lat,lng
0,Malishevë,42.4822,20.7458
1,Prizren,42.2139,20.7397
2,Zubin Potok,42.9144,20.6897
3,Kamenicë,42.5781,21.5803
4,Viti,42.3214,21.3583
5,Shtërpcë,42.2394,21.0272
6,Shtime,42.4331,21.0397
7,Vushtrri,42.8231,20.9675
8,Dragash,42.0265,20.6533
9,Podujevë,42.9111,21.1899
10,Fushë Kosovë,42.6639,21.0961
11,Kaçanik,42.2319,21.2594
12,Klinë,42.6217,20.5778
13,Leposaviq,43.1039,20.8028
14,Pejë,42.66,20.2922
15,Rahovec,42.3994,20.6547
16,Gjilan,42.4689,21.4633
17,Lipjan,42.5217,21.1258
18,Obiliq,42.6869,21.0703
19,Gjakovë,42.3803,20.4308
20,Pristina,42.6666,21.1724
21,Deçan,42.5378,20.2911
22,Istog,42.7808,20.4875
23,Hani i Elezit,42.15,21.2967
24,Junik,42.4758,20.2772
25,Kllokot,42.3714,21.3744
26,Mamushë,42.3308,20.7269
27,Partesh,42.4019,21.4336
28,Ranillug,42.4922,21.5989
29,Ferizaj,42.3706,21.1553
30,Zveçan,42.9075,20.8403
31,Suharekë,42.3586,20.825
32,Gllogovc,42.6283,20.8939
33,Mitrovicë,42.8833,20.8667
34,Skenderaj,42.7467,20.7886
35,Novobërdë,42.6178,21.4197
36,Graçanicë,42.6011,21.1958
37,Longyearbyen,78.2167,15.6333
38,Sanaa,15.3547,44.2066
39,Marib,15.421,45.334
40,Al Jabīn,14.704,43.599
41,Hajjah,15.6917,43.6021
42,Ibb,13.9759,44.1709
43,Al Hudaydah,14.7979,42.953
44,Lahij,13.0582,44.8838
45,Al Maḩwīt,15.4701,43.5448
46,Taizz,13.6045,44.0394
47,Sadah,16.9398,43.8498
48,Dhamar,14.5575,44.3875
49,‘Amrān,15.6594,43.9439
50,Aḑ Ḑāli‘,13.6957,44.7314
51,Saywun,15.943,48.7873
52,Al Bayda,13.979,45.574
53,Zinjibār,13.1287,45.3807
54,Rida,14.4295,44.8341
55,'Ataq,14.55,46.8
56,Al Ghaydah,16.2394,52.1638
57,Sayhut,15.2105,51.2454
58,Al Mukalla,14.5412,49.1259
59,Al Ḩazm,16.1641,44.7769
60,Zabīd,14.1951,43.3155
